Redacao	Nota
Anjos da noite, e anjos do dia a dia, policiais ou bombeiros que, de prontidão, ficam a disposição a qualquer tipo de chamado, esse pode ser um grande incêndio em uma favela, ou em um edifício, ou um chamado para livrar, socorrer pessoas ou famílias que estão sobre o domínio de bandidos. Independente do tipo de perigo esses guardiões, dentro de suas funções, expõem suas vidas num ato de heroísmo, sem medir esforços para resgatar livrar vidas que estão em perigo. Estes fazem de sua profissão uma representação de gestos de heroísmo, em que muitas vezes não medem esforços para prestar socorro a vitimas de incêndio, ou pessoas que estão sobre seqüestro de marginais. Homens da lei que muitas vezes colocam em risco suas próprias vidas e que alem de não medirem esforço, não medem pelo pouco salário que ganham. Tudo isso gera uma grande simpatia da sociedade por esses grandes homens e mulheres que se colocam a disposição de qualquer chamado, seja ele um acidente de transito , um grande incêndio ou famílias que estão sobre o domínio de bandidos. Mas infelizmente, a casos específicos em que profissionais ou se isto podemos chamar,  num ato de individualismo, coloca a vida de pessoas em risco. Como este caso recente do capitão do cruzeiro Costa Concórdia, em que o navio em um estado de alerta, passageiros num grande desespero, o comandante simplesmente abandona o navio e deixa para traz tripulantes e passageiros a mercê de uma grande tragédia. A coragem é o que nos faz gente, é o que nos leva a luta ao enfrentamento de situações que nos expõem ao perigo, e de nunca sermos como ratos ou de ser o primeiro a abandonar o barco na hora do perigo.	3.5
No trabalho, em casa e na escola acontecem eventos que fogem de nossos planos, alguns podem ser facilmente contornados, porém, outros são gravíssimos, que podem custar até, em certos casos, vidas. Cabe a cada um tomar a decisão de ser corajoso e enfrentar a situação e assumir a responsabilidade ou sair "de fininho" como um covarde. O náufrago do Costa Concordia mostrou ao público a covardia do capitão Francesco Schettino que pelo não cumprimento da ordem de seu comandante Gregorio de Falco, fugiu da sua obrigação de capitão e abandonou seus tripulantes que, por sorte, saíram com vida desse descaso. Mas quando há a confiança que lhe fora depositada, para mostrar-se digno, a coragem deveria ter-lhe falado mais alto, afinal vidas de várias pessoas estavam em suas mãos. Se ao menos os governos se mostrassem capazes de resolverem problemas de seus países, como é o caso da fome e da educação de má qualidade que afeta os países de terceiro mundo e os políticos não fossem covardes de roubarem seu próprio povo que os elegeram e fossem corajosos o suficiente para colocar ordem na administração e buscassem por melhorias para sua nação, investindo o dinheiro arrecadado, talvez menos miséria e vestígios de igualdade seriam alcançados. A conquista da independência de muitas colônias americanas também foi pela luta e coragem de seus nativos, que embora reprimidos pelas metrópoles, não deixaram seu objetivo. É comum chegarmos ao ponto de pensar "antes um covarde vivo que um herói morto" e simplesmente fechamos os olhos e deixarmos que o mundo exploda a nossa volta, mas basta colocar em uma balança, de um lado as consequências da nossa covardia e do outro as da coragem, que o bom senso dirá que mais vale o bem estar geral ao egosísmo narcizista .	4
Na sociedade em que vivemos hoje, necessitamos de um certo cuidado com nossas atitudes, nossas virtudes, pois tudo que fizermos ou dissermos, poderá ser usado contra nós mesmos em algum período de nossas vidas. Em nosso país como descrever coragem ou covardia, frente a tanta corrupção, tanto roubo, lavagem de dinheiro... Em que podemos nos agarrar como exemplo? Covardia, que têm como sinônimos fraqueza e medo, vai muito além destas palavras que causam tão pouco impacto na sociedade, perante aos atos observados em nossa sociedade democrática, tomadas pelas autoridades nacionais; A cada instante que passa, uma nova notícia... É mensalão, é desvio de verba da saúde, da educação, parece até mesmo um vulcão em erupção! Ética no trabalho, cadê? Aqueles que deveriam lutar em prol de um país melhor, sem fome, sem miséria, uma sociedade em paz, sem guerras, não os faz . Existe covardia maior? Coragem, é daqueles que acordam bem cedo, cumprem seu papel corretamente na sociedade; Trabalhadores , educadores, servidores do bem, que educam seus filhos da melhor maneira possível, mesmo em meio de tanta "turbulência", pessoas que assumem seus próprios atos, sem precisar de gastar tempo nem dinheiro público com uma CPI para averiguação dos fatos.  Gente que enfrenta cada dia com bravura e não prejudica ninguém, sabe que sua liberdade acaba, onde começa a de seu próximo. Difícil descrever, porém se nos espelharmos nos bons exemplos de coragem, pode ser que teremos uma amanhã mais ensolarado, com novas oportunidades e melhores recompensas. O mundo é uma selva, onde infelizmente nem sempre os que são providos de coragem, bravura e valentia saiam vivos e vitoriosos.	3
Atitudes de coragem e de medo tem acompanhado o ser humano desde os primórdios de sua existência, e a pesar de todo o avanço da sociedade atual, ainda nos deparamos com vários atos de covardia, principalmente no ponto de vista ético. Ao assumir qualquer tipo de responsabilidade, temos que estar conscientes das consequências das nossas ações.  O que diferencia um herói de um covarde é que o primeiro possui coragem de admitir seus erros e responsabilizar-se por seus atos, enquanto o segundo tende a negar o próprio equívoco e fugir das consequências das suas ações. Um covarde, por não tomas atitudes perante as próprias falhas, prejudica não só a si mesmo, pois não aprende com seus erros, mas também outros ao seu redor, já que abandona a responsabilidade antes assumida perante tais indivíduos.  Uma notícia que tem se destacado na mídia que exemplifica muito bem esse fato foi o caso do capitão Francesco Schettino que, após bater em uma rocha junta à ilha italiana,  abandonou o navio deixando milhares de pessoas que estavam a bordo da embarcação. Assim, é notável o quão prejudicial	1.5
Cada pessoa tem suas manias, preferências e medos. O que deixa mais claro o traço de cada uma são evidentemente suas atitudes. Por meio delas distinguimos o herói do covarde. Não aqueles heróis de filmes que estamos acostumados, mas sim aqueles que são em maioria anônimos. Desde o bombeiro que realiza um parto por telefone até o réu que confessa seu crime voluntariamente. Esses são exemplos de coragem. Denomina-se covarde também aquele que não luta por seus direitos. Um homem independente do que seja não abandonaria um navio deixando mais de 4000 vidas à deriva no mar, a menos que este seja mais um do time daqueles que não cumprem seus papéis como pessoa. Um ato de exrema covardia. De encontro ao pensamento popular, prefiro um herói morto, mas que executou seu dever como homem, do que centenas de egoístas perambulando com seus próprios interesses ao redor do mundo.	1
"Coragem é resistência ao medo, domínio do medo, e não ausência do medo”, essa frase de Mark Twain define o termo coragem muitíssimo bem, mas não podemos esquecer que a covardia é um dos sentimentos que estão presentes na vida de cada ser humano, seja nas atitudes, nos relacionamentos, enfim na vida. A negligência cometida pelo capitão Francesco Schettino,  do Costa Concórdia, é uma amostra recente de covardia, do medo de assumir o seu próprio erro, medo de ser criticado, medo da culpa. Na nossa sociedade atual, o medo está presente em tudo, perder a estabilidade num emprego ou num relacionamento, sempre está fora de questão e muitas pessoas se utilizam de atos covardes para não colocarem em risco o que consideram importante. Num mundo como o nosso, o caráter deveria ser contado como questão principal.  A coragem não é muito incentivada na nossa sociedade e a covardia é um ato que não é punido. É muito mais fácil,  colocar a culpa em alguém, desistir de uma coisa mais difícil, fugir de decisões e verdades do que assumi-las. A coragem também está contida em pequenos atos, não somente em se tornar herói por ter arriscado a vida para salvar algo ou alguém, mas também evitando mentiras do dia a dia, agindo com responsabilidade e comprometimento, é ter maturidade e senso critico. Não é enfrentar os problemas de qualquer jeito, mas avaliar os riscos e ser ousado e fazer o novo. Portanto só nos resta esperar que a sociedade tenha mais coragem nas suas atitudes,  que construa pessoas com caráter, que assumam seus erros e não fujam de suas responsabilidades. Um mundo onde a verdade seja valorizada, onde soluções ousadas apareçam no lugar de grandes problemas.	6
Vivemos em um mundo onde o covarde e o valente encontram-se "juntos e misturados" em situações do nosso cotidiano. Os grandes guerreiros medievais, consagrados pelos seus atos heroicos, ressurgem-se hoje em pessoas comuns que sofrem, choram, temem e perdem batalhas ao longo da vida. A incoerência e a falta de ética aparecem de acordo com a situação. Somos humanos e falhos, sujeitos ao erro ou ao acerto, a glória ou ao declínio e, nesse caso, chega-se ao fundo do poço, onde se é impiedosamente julgado e castigado por um ato impensado. A verdade é que não sabemos como será a nossa atitude diante de uma situação problema. Podemos responder positivamente, correspondendo as espectativas unânimes e sermos consagrados como heróis ou agirmos com negligência, imprudência e sermos condenados pela nossa própria consciência, pelo povo e pela Constituição.	2.5
Um valor o qual é tido universalmente como um dos pilares da ética é a coragem. Não se trata, entretanto, da coragem de guerreiros e lutadores, mas sim daquela que leva o indivíduo a assumir seus erros e pagar por eles de maneira adequada. Há, por outro lado, o eticamente covarde, ou seja, aquele que não assume suas responsabilidades e algumas vezes ainda a joga para outros. Por mais que alguns procurem negar, coragem e covardia éticas têm sim muitos efeitos sobre a sociedade. Analisando, por instância, a sociedade brasileira, é possível afirmar que as demonstrações de desonestidade e covardia ética na política fizeram com que o povo passasse a descrer nos próprios políticos e no semelhante e na capacidade de mudar a realidade social por meio da política. Por outro lado, exemplos como o da personagem Griselda Pereira, da novela "Fina Estampa", uma mulher reconhecidamente ética e um paradigma de idoneidade, causam nos cidadãos não só admiração e respeito, mas também reflexões sobre o modo de pensar a vida e de julgar os outros indivíduos. Portanto, são indubitáveis os efeitos da covardia e da coragem ética sobre a sociedade. Não é possível, porém, afirmar qual delas está se sobressaindo, pois, se por um lado há o exemplo anti-ético dos políticos brasileiro, por outra há uma boa demonstração de ética na vida e no trabalho pela personagem Griselda.  Tentar achar um vencedor nesse antagonismo, aliás, seria reductio ad absurdum, ou seja, transformar-se-ia em um reducionismo o qual atrapalharia a análise apropriada da questão.	4
A atitude do capitão foi vergonhosa,  são poucas as pessoas que ainda pesam no próximo, e foi o que o capitão não fez. Para ele era melhor salvar a vida dele do que salvar a vida de pessoas que nunca viu na vida, e o efeito desse fato foi a morte de 4.000 pessoas. È muito raro neste mundo ainda existir pessoas justas, mas quando há os resultados são quase sempre positivos. Um bom exemplo é de uma das enchentes que teve em santa catarina e que havia uma senhora que era vigia para avisar quando começasse a chover muito forte, a senhora saiu de sua casa na madrugada e conseguiu sim avisar as pessoas mas infelizmente morreu na enchente. Então vale a pena sim pelo menos tentar salvar seu próximo.	0
Coragem e covardia são sentimentos inerentes à raça humana e são demonstradas nas mais diversas situações do cotidiano. As mesmas andam paralelamente no âmbito das emoções. Isso ficou claramente exposto no episódio do naufrágio do navio italiano Costa Concordia em janeiro. Fica evidente que para cada indivíduo da sociedade o que é importante é a dosagem de tais sentimentos. Não é raro um indivíduo se deparar em situações que exijam coragem física, como fugir de um criminoso, de um desastre natural, para salvar entes queridos, ou mesmo os que a utilizam como profissão, como policiais, bombeiros e salva-vidas.  No entanto, esse sentimento tem uma dimensão mais ampla. A coragem ética é o que deve permear as relações humanas. Saber perdoar, agir com responsabilidade e comprometimento ou mesmo saber como lidar em situações tensas, exigem maturidade e censo crítico. Não é não medir as consequências ou enfrentá-las de qualquer jeito, mas é ter a capacidade de avaliar os riscos e ainda assim ousar, fazer o novo. Foi o que faltou para o capitão Francesco Schettino da embarcação européia. Ao tomar a decisão de fugir do navio e abandonar os 4000 passageiros e tripulantes, ele não assumiu a responsabilidade pela vida dos demais, cometendo um crime. No Brasil, essa situação fica mais evidente no trânsito. A quantidade de motoristas envolvidos em acidentes graves e que não prestam o devido socorro às vítimas é alarmante, um grotesco sinal de covardia. Logo, evidencia-se que a covardia e a coragem residem em cada indivíduo e sua manifestação depende, entre outros fatores, do caráter de cada um. Tais sentimentos são de extrema importância, pois podem lidar com a própria vida ou a de outras pessoas. É necessário exercitar a coragem ética nas pequenas decisões cotidianas, sem medo de frustrações ou equívocos, para que, ao lidar com situações extremas, maior seja a capacidade crítica de avaliar os riscos e agir com responsabilidade.	8.5
Os seres humanos são dotados de diversos comportamentos. Em determinados momentos da sua trajetória de vida esses comportamentos são observados com maior frequência. Muitas mulheres, quando mães, por exemplo, por muitas vezes viram “leoas” para defender a sua prole.  Essa conduta de coragem é o que, por muitas vezes, faz a humanidade evoluir. A coragem humana é datada desde a Antiguidade. Durante o Primeiro Triunvirato, em Roma, foi possível ver a coragem de Júlio César. Após perder o poder e ser obrigado a voltar a Roma, César se encorajou diante do novo governo, prosseguiu com seu exército. Anexou vários territórios a Roma e, por fim, conseguiu tornar-se imperador. Como consequência da sua bravura, Roma teve sua economia reestabelecida e uma população menos revoltosa. Dessa forma ajudando a formação de um Estado mais justo. Em contra partida a coragem, existe a covardia. Um dos comportamentos que mais deprecia a figura do ser humano. Um recente caso de um ato de covardia foi mostrado ao mundo. O capitão do navio Costa Concordia abandonou o navio no momento em que o mesmo afundava com milhares de pessoas a bordo. Muitos o recriminaram por essa atitude, que, nesse caso, uma das únicas coisas que trouxe de positivo foi a reflexão das atitudes humanas em situações extremas. Um ato de coragem e bravura pode mudar vidas e até mudar a situação de um Estado e um ato de covardia pode dizimar centenas de vidas. Talvez, nunca se saiba o que levou o capitão do navio que naufragou na costa da Itália, o Costa Concordia, a ter essa atitude. Mas é de conhecimento de todos que a coragem separa os homens dos meninos.	6.5
"A vida se contrai e se expande proporcionalmente à coragem do indivíduo." Com essas palavras a escritora francesa, Anaïs Nin, deixa clara a importância das pessoas serem capazes de resistirem às adversidades que se apresentam diariamente nas suas vidas; a covardia , ao contrário , fragiliza o indivíduo que, por sua vez, fica inerte e não demonstra reação. Na própria história do Brasil e do mundo é notória a relevância da coragem como fator preponderante em ações que desafiaram ou desafiam a ordem vigente. No Brasil, por exemplo, se não houvesse Romantismo e Modernismo, ambos movimentos literários, possivelmente até hoje não existiria uma literatura verdadeiramente brasileira e sem influências externas.  No mundo, entre vários heróis, pode-se citar a figura de Nelson Mandela como líder rebelde contra o Apartheid, na África do Sul. No entanto, vêem se tornando rotineiros os casos em que os seres humanos acovardam-se ao correto e preferem praticar o errado ao certo. Assim, muitas das mazelas que persistem no mundo como pobreza, fome, corrupção, advém de muitas atitudes covardes, seja elas de governantes ou civis, que não reagem e permanecem na inércia, prevalecendo ações paliativas que não são eficazes e não atingem a raiz do problema. Sendo assim, qualquer atitude corajosa - que atualmente não faz parte do padrão da sociedade - como a verificada na Itália, em que ocorreu o naufrágio do Costa Concórdia, consagrando herói o comandante Francesco Schettino, que exigiu o retorno do comandante ao navio,  faz com que a população descrente ou mal acostumada com essas ações,  perceba a importância de serem corajosos em momentos como esses. Diante de tudo isso, deve-se exaltar a coragem como uma virtude que não pode ser reprimida, abolindo a covardia, facilitando a reconstrução moral da sociedade, baseada em valores autênticos. Assim, os heróis dos gibis deixarão de ser mera ficção e serão personificados nas pessoas comuns que, por sua vez, se tornarão exemplos a seguir.	7.5
Através da história, feitos corajosos e covardes são lembrados em diferentes colocações. Os corajosos são exautados e merecem um lugar ao sol, os covardes são ofendidos e pisoteados. Enfrentar batalhas em desvantagem - Batalha de Termópilas, se rebelar contra regimes de opressão - atualmente representado pela luta contra o governo ditatorial de Muammar Kadhaffi em 2011. Esses feitos corajosos e muitas vezes impensáveis, feitos por impulso, revelam os heróis da sociedade, sempre certos e imponentes. Se, por um lado, corajosos são exautados , por outro , covardes são apedrejados, apelidados de frangotes e Judas. Contudo, antes de julgar as ações dos "covardes", devemos analisar os motivos que os levaram a fazer isso. Não agindo como defesa de seus atos, mas sim julgando de maneira correta. Para o ser humano é fácil apontar o erro do próximo quando não estamos lá para ver o que realmente aconteceu. Momentos tensos, decisões difíceis, pressão, qualquer coisa que arrisque nossas vidas faz cada um tomar uma atitude diferenciada, muitas vezes egoísta mas que, em um momento de medo, salvará nossas vidas, é egoísmo pensar somente em si mesmo, mas fazemos isto constantemente. Um exemplo atual disso é o capitão do navio Costa Concordia, Franscesco Schettino, que, em um momento de nervosismo e tensão , abandonou o navio e os passageiros à própria sorte, uma atitude inesperada por todos, o comandante deve pernanecer no navio para proteger e orientar os passageiros em um momento de tensão, esse ato covarde será lembrado por um bom tempo.  Lembraremos de seu nome e sua covardia , mas esqueceremos fácil do nome do herói da história , Gregório de Falco. Essa contrariedade, apontada pelo fato de lembrarmos sempre do "vilão covarde", revela como pequena e finita é a capacidade de julgamento da sociedade,  analisamos os fatos pelo que ouvimos dizer, sem desenvolver uma linha de raciocínio e julgamento sobre esse ato, devemos preparar a mente e desenvolvê-la para o julgamento adequado.	6
Muitas vezes nos deparamos com situações difícies . O que fazer? Ser corajoso e enfrentar ou ser covarde e esperar? E as outras pessoas? O que aconteceria com elas? Diariamente temos que fazer escolhas difícies que muitas vezes só cabe a nós decidirmos, porém ao fazer nossas escolhas temos que não apenas pensar em nós, mas também nós outros, no bem comum. Por exemplo, se você estiver dirigindo um carro em alta velocidade e percebesse que ele iria bater em outro carro, o que você faria? Abriria a porta e pularia ou então tentaria frear e desviar? Seria uma atitude muito covarde e até mesmo vergonha pular, pois não é só a sua vida que está em risco mas também a vida de outros seres humanos, que tem objetivos e sonhos assim como você. Nós fazemos parte de uma sociedade muitos complexa que tem princípios e deveres. Todos os nossos atos se refletem na sociedade, temos que ter a consciência de que é preciso muitas vezes ter a coragem e o dever de praticar certo atos não apenas por nós, mas por toda a sociedade de que fazemos parte.	3
Toda boa relação, seja ela amorosa, ou mesmo entre indivíduos de culturas diferentes, é baseada em respeito. Isso tudo não poderia ser diferente na convivência entre pessoas e animais domésticos, embora não se generalize. A linha tênue entre o respeito nessas relações esbarra na ideia de "superioridade" dos seres humanos que, por sua vez, é conflituosa, mediante a supervalorização do animal. Constantemente, a mídia noticia exemplos de maus tratos a animais de estimação. Nesse aspecto,  configura-se a ideia relativa de "superioridade" dos seres humanos, que não reconhecem esses animais como merecedores de respeito. São ignoradas quaisquer possibilidades de afeto e carinho em detrimento do sofrimento do animal. Muitas destas características reproduzidas em sociedade por parte dos agressores com seus semelhantes. No entanto, em outros casos, estes animais são elevados a uma condição de não mais inferiores aos seres humanos, mas como integrantes de um novo meio social, de regalias e privilégios.  Embora, quase que imperceptível para seus donos, a domesticação e todas essas regalias vão gradativamente substituindo o instinto natural desses animais, que perdem suas características naturais. Em ambas as situações, prevalecem à desarmonia na convivência com o animal. Desrespeito sem fundamentos, já que se deve manter uma relação de afeto e carinho, sem exageros. No próprio âmbito biológico, estes animais, incluindo os indivíduos racionais, diferenciam-se pelo desenvolvimento da comunicação e da consciência, compartilhando de variadas características que, biologicamente, lhes são comuns. Portanto, a relação entre pessoas e animais domésticos deve ser afetuosa, sem privilégios e agressões. Deve-se cultivar o amor para que a relação prospere e que a convivência seja benéfica para ambos e, assim, construa-se uma relação de fidelidade.	3.5
Muitos jovens de hoje se deparam com uma grande mudança na personalidade das crianças de hoje em dia. Vemos que a fase ingênua está diminuindo cada vez mais, as vezes até me pergunto,  como pode tão pequenos, parecendo tão grandes em pensamentos? Não poupamos as nossas crianças de uma realidade cruel, era tão mais bonito quando elas iam dormi sonhando com fadas e super-heróis. Não devemos força uma criança, um ser tão pequeno e cheio de vida, cheio de sonhos, crescer assim a inocência não deve se perde, elas devem acreditar que a fada do dente ira lhe dar uma moeda em baixo do seu travesseiro e que o coelho que trará o ovo de chocolate mais gostoso do seu jardim, ao invés de viver em um mundo onde tudo é preto e branco e não há sorrisos a sua volta. Uma criança não é "boba" se gosta de princesas ou de heróis até os 12 anos ou mais, essa criança é feliz apenas isso. Devem brincar de jogar bola no parque ao invés de ficar em casa jogando FIFA pelo vídeo game. Não apague um sorriso inocente. Toda criança tem bom coração, pois nasceu puro não estrague o que há de bom nelas.	0
As relações entre os homens e o meio ambiente sempre foram observadas e, de forma mais notória, a relação existente entre o homem e o animal de estimação.  No antigo Egito, por exemplo, já havia uma relação arraigada a cultos religiosos em relação ao gato. Em países da Europa setentrional, como a Noruega ou a Finlândia, veem, na raça de cachorro São Bernardo, um herói em situações de risco ao ser humano, enfim, a relação homem-animal é inerente ao bom convívio entre o homem e o mundo que o rodeia. Deve-se haver um limite entre aquilo que se pode ou não fazer, como, por exemplo, o tratamento do animal como se ele fosse um ser humano. Ele não é um ser humano para ser tratado como tal. O uso de roupas, carrinhos de bebê e outros acessórios no animal são demonstrações de como não se deve tratá-lo. O animal é um ser com instintos e carências quanto ao dono e que devem se limitar única e exclusivamente ao carinho, à atenção e ao bem-estar do animal de forma não exagerada. O limite imposto entre o exagero e a boa relação com o companheiro de estimação é feito pelo dono e cabe a ele saber separar o ridículo do essencial. Doar milhões a um cachorro ou gato enquanto milhares de crianças morrem de fome todos os dias é tão desumano quanto espancar um animal até a morte onde tais atos rebaixam a condição humana à patamares próximos de seus animais de estimação. Pode-se inferir, portanto, que de forma generalizada, o ser humano alcança níveis de irracionalização dígnas de seus animais de estimação quando trata-os de forma semelhante a outro ser humano. Deve-se equilibrar bom-senso com atos desumanos de modo a haver harmonia entre os vários seres que vivem no mundo.	4
De um lado o carinho demasiado, do outro a agressividade, e em meio a tudo isso os animais clamando piedade. Trata-se da ligação entre o ser humano e os bichos de estimação, que existe desde os tempos remotos e ao longo do tempo ganhou bastante prestígio. Uma interação que vem sendo abordada por diversos campos de estudos, como psicologia, antropologia, sociologia e medicina veterinária. Muitos bichos são tratados como membros da família. Em alguns casos são tratados como pessoas.  Um verdadeiro equívoco. A "humanização" e os mimos em excesso podem gerar transtornos a esses animais. Por conta disso, muitos destroem a casa, tem crises de ansiedade, fazem suas necessidades em locais inadequados e demonstram agressividade. Entretanto, os maus-tratos e violências são bem mais prejudiciais do que os cuidados em excesso. Recentemente houve uma intensa repercussão nas redes sociais sobre um fato que chocou a população. Uma enfermeira de Goiás foi gravada espancando um cachorro até a morte. Isso tudo ocorreu em frente ao filho da mulher, que tem apenas três anos de idade. Diante disso percebe-se que a agressão e o grau elevado de cuidados não são benéficos aos animais domésticos, nem mesmo quando a intenção é o adestramento. Segundo a constituição brasileira, praticar ato de abuso, maus-tratos, ferir ou mutilar animais, sejam eles silvestres, domésticos ou domesticados, nativos ou exóticos é um crime e a pena é a detenção, que pode variar de três a doze meses, além do pagamento de uma multa. Em síntese nota-se que todo animal deve ser tratado com carinho, respeito, lealdade, bondade e cuidado (de forma moderada). É necessária a conscientização. Vale lembrar que não importa se os animais são incapazes ou não de pensar. O que importa é que são capazes de sentir.	3.5
Desde o Egito Antigo, o homem aprendeu a domesticar os animais, em prol de seus interesses. Mas, atualmente, essa domesticação excede o limite, seja pelo excesso de amor, ou pelo desrespeito. Trazem com isso grandes problemas mentais e físicos para os animais, provando que um meio termo seria a melhor opção. Tratá-los como filhos e dá-los tudo o que as pessoas comem, ou necessitam para viver, incluindo dinheiro, nunca foi a maneira mais racional de mostrar que os ama ou que os respeita . Esse exagero de sentimento pode causar grandes dependências ou por que não a obesidade?  Ingerir continuamente produtos industrializados podem sim causa problemas à saúde dos animais. Mas, por outro lado há quem os odeie e esse ódio pode resultar em várias agressões físicas que muitas vezes ocasiona a morte, ou o abandono. Explorá-los também é uma arte tipicamente das pessoas, e que causa os mesmos danos já citados. À esses faltam leis capazes de punir com mais rigor essa atrocidade, para que não vejamos mais pelas ruas, fotos ou vídeos sinais da desumanidade do ser humano. Portanto, não é necessário amá-los como filhos, tampouco odiá-los como lixo, ter um equilíbrio entre esses dois sentimentos é fundamental para que desfrutemos melhor do que eles têm a nos proporcionar.	2.5
Constantemente é noticiado ou presenciado o tratamento a animais em dois extremos: sendo tratados melhores que seres humanos ou agredidos e traficados, mas onde estaria a formar correta de tratamento? Provavelmente no equilíbrio. É verdade que todo tipo de vida deve ser respeitado, porém quando o mundo do ?pet? torna-se fundamental e comum preterir familiares, atividades físicas, pagar contas e outros aspectos cotidianos para proporcionar um melhor tratamento apenas ao animal, enquadra-se como uma atividade ilógica, pois a vida pessoal e social é afetada. Esse pensamento não estaria pautado na ideia deles não merecerem um cuidado cordial, portanto estaria em harmonizar com o bom senso. Pessoas estão passando fome e frio e ao transformar animais em "gente" é agredir moralmente e eticamente os valores e o valor de uma vida humana. Tendo em vista tais exageros, muitas vezes com prejuízo financeiro e psicológico ao dono, o animal sofre igualmente, pois sua natureza é afetada com joias, roupas, "chapinhas", pinturas, entre outros acessórios quem além satisfazer seu proprietário, incomodam e pode vir a causar traumas ao bicho de estimação. Possivelmente todas as atitudes equilibradas relacionados a essa questão não acabem com o desrespeito com o "homem" e ao animal, contudo, valorize qualquer constituição ou manifestações em que ambos estejam presentes.	5
Cada vez mais, tem sido comum acompanharmos nos noticiários pessoas ricas que deixam suas fortunas para seus animais de estimação como uma forma, ainda que exagerada, de amor e estima. Infelizmente, numa proporção um pouco maior, temos observados também que nem sempre esse amor se manifesta, pelo contrário, os atos de agressão violenta , abandono e descaso chocam a todos, a todo o momento. A relação afetiva entre o homem e seu bicho de estimação as vezes beira a falta de bom senso. Foi noticiado recentemente que, na Europa, uma senhora, detentora de uma fortuna, deixou para seu gato uma quantia de um pouco mais de 10 milhões euros, aproximadamente 30 milhões de reais. No caso em questão, para o felino, essa herança em nada vai mudar sua vida. Todavia, tal gesto quis mostrar o quão importante aquele animal representava para sua dona, ainda que a iniciativa da mulher seja incompatível com o senso comum. Recentemente, tivemos notícia na imprensa nacional, de um caso de extrema violência. Uma enfermeira, espancou e torturou até a morte seu cãozinho de estimação e, como se não bastasse tamanha barbárie, ainda o fez na presença se seu filho de apenas 3 anos. Este episódio teve repercussão não só no Brasil mas como em todo o mundo, dada tamanha crueldade empregada contra o animal indefeso. Criar um animal não é o mesmo que cultivar uma planta. Há, neste caso, necessidades físicas e afetivas de caráter mútuo que precisam ser respeitadas dentro de um equilíbrio racional. Dosar o amor dispensado na medida certa e dar um tratamento digno é o caminho mais acertado tanto para o dono quanto para seu bicho de estimação. Os excessos sempre trazem consigo prejuízos, sejam eles a desvirtuação do ser animal, quando o tratamos erroneamente como pessoas, ou mesmo, quando a relação é pautada na violência.  Para este último caso, deve-se aplicar, sem a menor dívida, os rigores da lei.	8.5
Animais de estimação ou também determinados como mascote,  são animais dóceis com tal função de companheirismo ou divertimento para o ser humano. Estudos revelam que sua companhia propicia bem estar psicológico em seus donos e um melhor convívio interpessoal. A relação do homem com o animal deve manter certos limites, respeitando seu espaço, tais como: não maltrata-los , cumprir corretamente com suas necessidades e dar atenção. Mas diariamente vemos extrapolamentos. Pessoas gastam fortunas com animais,  um absurdo incontestante,  enquanto pessoas morrem de fome com medo de 1 real por dia , outros gastam milhões com futilidades do tipo. Por falta de consciência dessas pessoas, deveria surgir uma lei que proíbe tais ações, como deixar fortunas como herança para animais. Oras!  A diferença entre o homem e o animal é a sua capacidade racional, e como o animal sendo irracional poderá administrar bens materiais!?	4
Desde os tempos remotos os seres humanos estabelecem relações com os animais, seja ela econômica, cultural ou afetiva. Isso repercutiu durante toda a história da humanidade, sendo que, nas últimas décadas , cresceu o número de pessoas que possuem animais de estimação, relacionando-se com os mesmos de diversas maneiras. O relacionamento ser- humano animal de estimação deve ser amigável e equilibrado, para que possa trazer benefícios a ambas as partes. Através de respeito, consegue - se bons resultados, como os obtidos com o uso de cachorros no tratamento de pacientes que tenham depressão e/ou câncer. Nesse caso, os animais ajudam a elevar e qualificar a autoestima da pessoa, ajudando-a a enfrentar o tratamento com mais alegria e, em troca, recebem carinho e atenção. Todavia, há alguns absurdos, muitos deles divulgados pela mídia,  maus tratos, agressões covardes aos animais, práticas ilícitas como rinha de galo, excesso de mimos e cuidados, fatos esses que causam, na maioria da população, revolta e indignação, além de poder trazer como consequência atitudes inesperadas por parte de animais de estimação, comportamento agressivo, fobias. O verdadeiramente necessário é reprimir os excessos e mostrar às pessoas a maneira certa de relacionar-se com seu respectivo bicho de estimação, um convívio que, como tudo na vida, deve estar embasado no respeito mútuo e estar inserido dentro de certos limites de comportamento e de zelo, para que se torne uma interação prazerosa e que traga felicidade.	9
